exp_id,mode,pillar,seed,model_id,prompt_id,collapse_run,collapse_reason,core_collapse_run,core_collapse_reason,budget_exhausted,collapse_core,collapse_core_reason,stop_aux,stop_aux_reason,intervene_bin,n_tokens_total,n_interventions,intervene_density,H_pre,runtime_sec,extra_tokens_due_to_intervention
vNEXT-RE30,baseline,META,12,gpt2,12,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,73,0,0.0,,2.548168897628784,0.0
vNEXT-RE30,baseline,META,13,gpt2,13,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,73,0,0.0,,2.3876919746398926,0.0
vNEXT-RE30,baseline,META,14,gpt2,14,1,REP,1,REP,0,1,REP,0,NONE,0,163,0,0.0,,7.649558782577515,0.0
vNEXT-RE30,baseline,META,15,gpt2,15,1,REP,1,REP,0,1,REP,0,NONE,0,220,0,0.0,,12.041323900222778,0.0
vNEXT-RE30,baseline,META,16,gpt2,16,1,REP,1,REP,0,1,REP,0,NONE,0,96,0,0.0,,3.6938579082489014,0.0
vNEXT-RE30,baseline,META,17,gpt2,17,1,REP,1,REP,0,1,REP,0,NONE,0,93,0,0.0,,3.61077880859375,0.0
vNEXT-RE30,baseline,META,18,gpt2,18,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,70,0,0.0,,2.5001771450042725,0.0
vNEXT-RE30,baseline,META,19,gpt2,19,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,50,0,0.0,,1.4235198497772217,0.0
vNEXT-RE30,baseline,META,20,gpt2,20,1,REP,1,REP,0,1,REP,0,NONE,0,140,0,0.0,,5.967477083206177,0.0
vNEXT-RE30,baseline,META,21,gpt2,21,1,REP,1,REP,0,1,REP,0,NONE,0,98,0,0.0,,3.7470171451568604,0.0
vNEXT-RE30,baseline,META,22,gpt2,22,1,REP,1,REP,0,1,REP,0,NONE,0,213,0,0.0,,11.427839994430542,0.0
vNEXT-RE30,baseline,META,23,gpt2,23,1,REP,1,REP,0,1,REP,0,NONE,0,83,0,0.0,,3.077336072921753,0.0
vNEXT-RE30,baseline,META,24,gpt2,24,1,REP,1,REP,0,1,REP,0,NONE,0,87,0,0.0,,3.3360252380371094,0.0
vNEXT-RE30,baseline,META,25,gpt2,25,1,REP,1,REP,0,1,REP,0,NONE,0,97,0,0.0,,3.713315010070801,0.0
vNEXT-RE30,baseline,META,26,gpt2,26,1,REP,1,REP,0,1,REP,0,NONE,0,119,0,0.0,,5.160526990890503,0.0
vNEXT-RE30,baseline,META,27,gpt2,27,1,REP,1,REP,0,1,REP,0,NONE,0,99,0,0.0,,3.7740581035614014,0.0
vNEXT-RE30,baseline,META,28,gpt2,28,0,NONE,0,NONE,0,0,NONE,0,NONE,0,91,0,0.0,,3.5143251419067383,0.0
